open	high	low	close	volume	macd	signal	position	pct change	strategy_returns	cumulative_returns
2639.32	2639.32	2638.09	2638.15	96.6071	-0.8375893384827577	-1	0.0	-0.00043950881101495476	-0.0	0.14879674121899722
2638.15	2638.16	2637.0	2638.0	110.5643	-1.1282916223103712	-1	0.0	-5.685802551036456e-05	-0.0	0.14879674121899722
2638.0	2638.46	2638.0	2638.16	38.4704	-1.2663499848254105	-1	0.0	6.0652009097772464e-05	0.0	0.14879674121899722
2638.17	2638.17	2637.57	2637.94	62.6382	-1.3839217019935859	-1	0.0	-8.339145465008357e-05	-0.0	0.14879674121899722
2637.94	2638.18	2637.9	2637.92	51.0719	-1.4413973341656856	-1	0.0	-7.581673578616055e-06	-0.0	0.14879674121899722
2637.93	2638.65	2637.92	2637.92	102.1383	-1.4532331743880604	-1	0.0	0.0	0.0	0.14879674121899722
2637.93	2638.5	2637.45	2637.46	33.5336	-1.536105359341036	-1	0.0	-0.00017437981439927253	-0.0	0.14879674121899722
2637.46	2637.46	2636.7	2636.71	64.6455	-1.7290640938144861	-1	0.0	-0.0002843645022104768	-0.0	0.14879674121899722
2636.7	2637.24	2636.0	2636.56	157.3661	-1.859307228023681	-1	0.0	-5.688907767642526e-05	-0.0	0.14879674121899722
2636.57	2636.9	2636.44	2636.45	55.5794	-1.9363949033618155	-1	0.0	-4.1721030433650164e-05	-0.0	0.14879674121899722
2636.44	2638.46	2636.44	2638.45	176.9592	-1.509814872534207	-1	0.0	0.0007585958391018721	0.0	0.14879674121899722
2638.46	2639.4	2638.46	2639.39	121.6325	-0.9890159602759923	-1	0.0	0.00035626977960556694	0.0	0.14879674121899722
2639.4	2640.7	2639.39	2640.7	53.3942	-0.33301639290948515	-1	0.0	0.0004963268027839973	0.0	0.14879674121899722
2640.7	2641.3	2640.49	2640.49	52.1559	0.06501126994635342	1	2.0	-7.952436853864153e-05	-0.004771462112318492	0.14402527910667873
2640.5	2640.5	2639.13	2639.13	74.3611	0.028946597293725063	1	0.0	-0.0005150559176515523	-0.0	0.14402527910667873
2639.14	2640.47	2639.13	2639.48	67.0224	0.08173386031739938	1	0.0	0.00013261946171660988	0.0	0.14402527910667873
2639.48	2639.48	2638.7	2638.7	80.3985	-0.05703472172308466	-1	-2.0	-0.0002955127525119394	0.017730765150716365	0.1617560442573951
2638.7	2638.71	2636.99	2636.99	110.0998	-0.5269577885846957	-1	0.0	-0.000648046386478196	-0.0	0.1617560442573951
2636.99	2638.25	2636.99	2637.9	94.3996	-0.6299578509838284	-1	0.0	0.0003450904250681397	0.0	0.1617560442573951
2637.9	2638.39	2637.9	2638.38	45.7217	-0.5809955359791275	-1	0.0	0.00018196292505412437	0.0	0.1617560442573951
2638.39	2639.19	2638.38	2639.18	115.8708	-0.3606106612342046	-1	0.0	0.0003032163676193189	0.0	0.1617560442573951
2639.19	2639.79	2639.18	2639.79	19.4822	-0.07177080186602325	-1	0.0	0.00023113239718397516	0.0	0.1617560442573951
2639.78	2640.11	2639.78	2640.1	38.3336	0.1911271834605941	1	2.0	0.00011743358373195179	0.007046015023917107	0.1688020592813122
2640.1	2640.11	2639.84	2639.84	48.691	0.30576174170209924	1	0.0	-9.848111813937077e-05	-0.0	0.1688020592813122
2639.84	2639.85	2639.7	2639.7	33.4405	0.3457569674083061	1	0.0	-5.303351718299876e-05	-0.0	0.1688020592813122
2639.7	2639.81	2639.7	2639.8	80.5471	0.38822830315803003	1	0.0	3.7883092775858884e-05	0.0	0.1688020592813122
2639.81	2640.22	2639.6	2640.21	35.083	0.5001427292922926	1	0.0	0.00015531479657537872	0.0	0.1688020592813122
2640.21	2640.22	2639.76	2640.0	63.6985	0.5192534245556999	1	0.0	-7.953912756941683e-05	-0.0	0.1688020592813122
2640.0	2640.22	2639.71	2640.22	54.9527	0.5711153467445911	1	0.0	8.333333333321313e-05	0.0	0.1688020592813122
